"id","availability","condition","description","image_link","link","title","price","brand"
"8eucedmiw","in stock","new","parents take you out for birthday dinner, their treat. waiter brings a lemon drop for your ""first"" drink. one sweet-sour sip: does this even have alcohol?","http://www.glassybaby.com/site/images/product-images/lemon-drop-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/lemon-drop","lemon drop | glassybaby","50 USD","glassybaby"
"bwao85m68","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and the planet heal","http://www.glassybaby.com/site/images/product-images/xoxo-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/product/4706","xoxo | glassybaby","200 USD","glassybaby"
"vettesr89","in stock","new","our beeswax tealights are individually hand-poured in virginia and feature an all-natural wick for a cleaner burn. each box contains 12 tea lights.","http://www.glassybaby.com/site/images/product-images/beeswax-tea-lights-5-hour_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/beeswax-tea-lights-5-hour","beeswax tea lights- 5 hour burn time | glassybaby","14 USD","glassybaby"
"93n719w8v","in stock","new","""whoa-oh what I want to know-oh is are you kind,"" he sang, dangling over the golden gate, painting the bridge to weather the salt and glow a grateful red","http://www.glassybaby.com/site/images/product-images/grateful-red-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/grateful-red","grateful red | glassybaby","55 USD","glassybaby"
"33ktp7v1q","in stock","new","the dog grew bigger than you thought she would. way bigger. on the bright side, now she can pull you, on rollerblades, halfway around greenlake","http://www.glassybaby.com/site/images/product-images/greenlake-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/greenlake","greenlake | glassybaby","50 USD","glassybaby"
"m3rpyaxco","in stock","new","you will feel deep love in the near future, say the planets and the stars. how much do the words in your horoscope make themselves come true?","http://www.glassybaby.com/site/images/product-images/horoscope-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/horoscope","horoscope | glassybaby","50 USD","glassybaby"
"kf4x9h74o","in stock","new","from the adirondacks, old iroquois country, down through the empire to the statue of liberty, shimmering past the city lights, the hudson flows and flows","http://www.glassybaby.com/site/images/product-images/hudson-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/hudson","hudson | glassybaby","50 USD","glassybaby"
"ymzr0sz47","in stock","new","recognize life's beauty with beauty of your own, like hemlock boughs in springtime, their tender, light green fringes: a show of gratitude for the sun","http://www.glassybaby.com/site/images/product-images/gratitude-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/gratitude","gratitude | glassybaby","55 USD","glassybaby"
"p5jk55fbn","in stock","new","when there is no obligation - nor even a request - for help, but you offer it just the same: that's pure kindness","http://www.glassybaby.com/site/images/product-images/kindness-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/kindness","kindness | glassybaby","50 USD","glassybaby"
"aj3l47e8s","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and planet heal","http://www.glassybaby.com/site/images/product-images/at-the-cabin-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/at-the-cabin","at the cabin | glassybaby","250 USD","glassybaby"
